;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
1;165,8414307;132,6190796;56,48584763;-1,108674221;-30,88568115;-33,22235107;-2,336669922;-5,841317907;0,00420044;10,54;0,639800998;0,515075684;0
2;140,1695557;81,23388672;51,48072086;-0,243823785;-44,49780273;-58,93566895;-14,43786621;-5,51104427;0,00537618;5,0794;0,68242067;0,146728516;0
3;140,7439575;86,453125;50,78637217;-0,421794071;-42,85211182;-54,29083252;-11,4387207;-5,459996512;0,00548445;8,8466;0,646531278;0,12890625;0
4;127,3499756;69,90283203;46,83685144;-0,525160655;-47,92895508;-57,44714355;-9,518188477;-5,606630796;0,00491788;6,4942;0,648815212;0,097351074;0
5;161,6692505;134,3596802;58,18653029;-0,761828888;-31,76782227;-27,30957031;4,458251953;-5,560049217;0,00784283;4,4466;0,695079158;0,532409668;0
6;161,8485107;134,4127808;54,83983463;-0,966821744;-32,09051514;-27,43572998;4,654785156;-5,611396345;0,00592014;6,3012;0,6788733;0,455810547;0
7;192,0888672;123,6259766;57,70048743;-2,227144019;-55,10961914;-68,46289063;-13,35327148;-5,758928913;0,00489144;12,3716;0,667989635;0,177856445;0
8;179,9282837;115,6339722;57,05933313;-1,748813586;-51,74035645;-64,29431152;-12,55395508;-5,662050074;0,00545143;16,7016;0,661710192;0,212280273;0
9;180,1481323;115,055481;57,07003697;-1,682439925;-50,86462402;-65,09265137;-14,22802734;-5,413822517;0,00801064;21,5968;0,683236237;0,247070313;0
10;174,0977173;102,7753906;54,84383932;-1,894334905;-55,79248047;-71,32232666;-15,52984619;-5,704382575;0,00432287;13,0298;0,649757187;0,249084473;0
11;149,4068604;101,9039917;53,14633074;-0,598672443;-41,15313721;-47,50286865;-6,349731445;-5,811346781;0,00363634;25,0636;0,615381962;0,254577637;0
