meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
0,497831109;0,679870026;0,666754455;0,624282402;0,823465218;0,763222823;0,560213638;0,461353506;0,154845178;0,119699561;0,317773737;0,487029453;0
0,254433843;0,247088772;0,509319207;0,892411368;0,520749037;0,443692978;0,289733498;0,653310615;0,254823579;0,052704417;0,4854057;0,094662246;0
0,259879796;0,291046736;0,48747861;0,837235367;0,557347099;0,501412634;0,356768961;0,682979892;0,264030259;0,098923533;0,344245317;0,075677784;0
0,132890296;0,151655286;0,363247236;0,805188699;0,444444595;0,46219033;0,399695777;0,597755127;0,215852292;0,07006235;0,3532285;0,042064885;0
0,458274308;0,694529878;0,720249083;0,731814614;0,803847527;0,836698752;0,712090476;0,624828633;0,464573799;0,044940705;0,535194145;0,505493791;0
0,459973889;0,694977107;0,61497945;0,668260825;0,79667125;0,835131013;0,716483292;0,59498536;0,301078917;0,067694467;0,471453162;0,423899617;0
0,746685323;0,604127459;0,704960703;0,277524006;0,284755807;0,325301735;0,31397584;0,509238506;0,213603981;0,14217114;0,428645462;0,127820038;0
0,63138978;0,53681644;0,684793325;0,42582045;0,359683902;0,377103118;0,331841777;0,565545095;0,261222421;0,195295151;0,403947117;0,164488655;0
0,633474184;0,531944217;0,685130012;0,446398229;0,379159071;0,367182446;0,294423716;0,709816508;0,478843429;0,255353502;0,488613494;0,201547364;0
0,576109676;0,428517673;0,615105416;0,380704579;0,269569844;0,289768586;0,265326085;0,54094118;0,165255945;0,150246481;0,356933482;0,203692868;0
0,342013527;0,421178494;0,561710628;0,782397891;0,595130122;0,585764138;0,47051561;0,478772912;0,106877246;0,297887063;0,22172863;0,209544243;0
0,515425862;0,538143219;0,599600503;0,408853793;0,482260195;0,531051781;0,485548045;0,510166009;0,190115766;0,148830658;0,268762501;0,166114037;0
0,266790967;0,507728062;0,508125555;0,822314004;0,784627538;0,812055589;0,687082802;0,510162173;0,107486093;0,090892361;0,372833052;0,577725766;0
0,767316408;0,719795734;0,704568433;0,204131504;0,467375562;0,46892319;0,388758757;0,45133343;0,206192379;0,451927064;0,171766263;0,218906443;0
0,554500623;0,731100342;0,700700347;0,485974944;0,695756807;0,764534961;0,690929926;0,577710671;0,255494501;0,331223913;0,16094803;0,40016904;0
0,359561986;0,544801274;0,711224446;0,701454906;0,670359547;0,745162345;0,681610881;0,673274626;0,087612692;0,547839828;0,066652516;0,359209414;0
0,358866413;0,391288188;0,727160137;0,720278624;0,468825205;0,519573988;0,478406308;0,314641017;0,202918552;0,886839723;0,248557707;0,183993238;0
0,384851441;0,39665442;0,705604034;0,706382195;0,454437361;0,493433622;0,445848994;0,637374532;0,27857285;0,134390252;0,43194604;0,135686886;0
0,513890625;0,665243588;0,679833507;0,5818219;0,696850827;0,720593511;0,610793776;0,465226481;0,112739521;0,302316109;0,168282862;0,476887069;0
0,677435894;0,722291991;0,696956486;0,332701161;0,648156116;0,590410472;0,425577921;0,664702969;0,735280962;0,023489892;0,656797899;0,200052013;0
0,34209975;0,421682783;0,611911704;0,829762862;0,633204974;0,586395178;0,433382673;0,509885679;0,289136679;0,028993686;0,574633176;0,127755022;0
0,387097875;0,472516762;0,621887085;0,632148043;0,559598932;0,602419946;0,53618548;0,426502069;0,150117263;0,123618224;0,291964792;0,156946882;0
0,336310061;0,476620472;0,637511957;0,664553424;0,584393532;0,67504109;0,641887274;0,493003398;0,125049958;0,173567063;0,20791071;0,260516221;0
0,365183858;0,372774972;0,638461508;0,826542032;0,534600731;0,483978645;0,348272545;0,537908709;0,316527975;0,036561098;0,572398619;0,11293154;0
0,372572439;0,385318969;0,607939393;0,79735319;0,543597206;0,492802582;0,355101874;0,542179493;0,317598559;0,040148502;0,492114071;0,120863404;0
0,485295173;0,604771571;0,915459051;0,77680521;0,689456017;0,668849771;0,525155693;0,41277583;0,284973393;0,035623759;0,545280869;0,409141148;0
0,422578457;0,623584482;0,792723421;0,682632466;0,657686027;0,778808442;0,754867226;0,182888849;0,189046883;0,304104903;0,232611006;0,436642612;0
0,325955747;0,471838721;0,759619796;0,942716438;0,700944576;0,68155703;0,536465147;0,590734094;0,447894292;0,02636325;0,599027527;0,217151031;0
0,37535068;0,524439511;0,650200214;0,82455451;0,702224551;0,694425841;0,558325546;0,519918409;0,25682444;0,056105335;0,392483693;0,145764254;0
0,366511349;0,626450345;0,676261689;0,833345598;0,817726368;0,856522653;0,73379808;0,724805685;0,569107495;0,061268057;0,471403557;0,398088551;0
0,394551269;0,669346783;0,762753889;0,849669001;0,845925186;0,883062727;0,753193318;0,718478451;0,55201302;0,061371115;0,503743559;0,448865484;0
0,41022307;0,695950728;0,62122224;0,672093499;0,845136569;0,901774723;0,787642818;0,525368902;0,190171889;0,145670209;0,23648119;0,540016904;0
0,434472058;0,715860635;0,660474013;0,69080923;0,842193848;0,899368126;0,786271768;0,636602493;0,357379374;0,110883184;0,311466038;0,524608283;0
0,351796684;0,564331292;0,618549883;0,737676264;0,738320396;0,784155594;0,683441676;0,540832627;0,148871508;0,173279972;0,20996054;0,394967817;0
0,563768754;0,627460979;0,66747758;0,448325252;0,606518237;0,599473325;0,483728164;0,486497727;0,19145931;0,17228129;0,257499466;0,213250114;0
0,590935447;0,766918742;0,741064184;0,404208742;0,682119574;0,769628786;0,71379849;0,51853737;0,178190535;0,244026923;0,168510669;0,456342241;0
0,555361698;0,774454804;0,795665941;0,49327357;0,683392762;0,827373472;0,816383021;0,211052091;0,242683211;0,206668352;0,286795049;0,510109876;0
0,428522654;0,672681979;0,748991576;0,683139849;0,720495756;0,843458158;0,808023028;0,546372694;0,270815157;0,051146276;0,431454495;0,453416553;0
0,322757963;0,509138118;0,336119147;0,259278482;0,632664751;0,740781473;0,711617088;0,581508792;0,304175872;0,179559157;0,243948414;0,366946233;0
0,430322347;0,663443364;0,723093315;0,79521146;0,793258888;0,827468279;0,706130161;0,543120005;0,338105467;0,064497211;0,427550725;0,453481568;0
0,783208107;0,565653444;0,738450511;0,246121678;0,225988248;0,220665944;0,184835235;0,4415629;0,242018242;0,422359197;0,220898818;0,093491971;0
0,427955547;0,37359592;0,522680324;0,547641782;0,438745109;0,402916587;0,29880971;0,327665523;0,109703791;0,135384026;0,259093453;0,028346661;0
0,386883764;0,39811691;0,569257502;0,65093053;0,474192143;0,492927729;0,425084071;0,419214122;0,149465048;0,100984696;0,28239925;0,068981211;0
0,294756237;0,232550237;0,5988059;0,783122348;0,374787067;0,369392602;0,302793258;0,593883507;0,21824176;0,060365071;0,519666657;0,074442494;0
0,744699874;0,716920104;0,745015909;0,321677484;0,534428348;0,494323297;0,367052516;0,49800157;0,463502365;0,153944304;0,360350231;0,214940512;0
0,260186497;0,427472597;0,583892573;0,873940486;0,706413314;0,702299427;0,568277593;0,598628263;0,193022243;0,104635898;0,359741575;0,266627658;0
0,381800064;0,540430769;0,732387642;0,788293695;0,665390311;0,709567002;0,622580711;0,550236749;0,288576302;0,043848779;0,508904158;0,388141214;0
0,546063474;0,576909731;0,757100157;0,603531454;0,600416976;0,548093646;0,3974448;0,677715919;0,328528037;0,143996741;0,378043524;0,292633769;0
0,317987329;0,519104123;0,686485695;0,823208299;0,684475923;0,761738514;0,697238119;0,560997229;0,17022961;0,124761678;0,293210533;0,264417139;0
0,32720338;0,537182962;0,719465372;0,837893733;0,69755936;0,776333583;0,71034017;0,545769461;0,182206712;0,111621767;0,317214588;0,280931019;0
0,243559296;0,40607604;0,928025633;1;0,644719322;0,692522862;0,612699604;0,604346401;0,167720243;0,090065442;0,349644055;0,334828685;0
