;dlwrf_s1_1;dlwrf_s2_1;dlwrf_s3_1;dlwrf_s4_1;dlwrf_s5_1;dswrf_s1_1;dswrf_s2_1;dswrf_s3_1;dswrf_s4_1;dswrf_s5_1;pres_ms1_1;pres_ms2_1;pres_ms3_1;pres_ms4_1;pres_ms5_1;pwat_ea1_1;pwat_ea2_1;pwat_ea3_1;pwat_ea4_1;pwat_ea5_1;spfh_2m1_1;spfh_2m2_1;spfh_2m3_1;spfh_2m4_1;spfh_2m5_1;tmin_2m1_1;tmin_2m2_1;tmin_2m3_1;tmin_2m4_1;tmin_2m5_1;tmp_sfc1_1;tmp_sfc2_1;tmp_sfc3_1;tmp_sfc4_1;tmp_sfc5_1;ulwrf_s1_1;ulwrf_s2_1;ulwrf_s3_1;ulwrf_s4_1;ulwrf_s5_1;ulwrf_t1_1;ulwrf_t2_1;ulwrf_t3_1;ulwrf_t4_1;ulwrf_t5_1;uswrf_s1_1;uswrf_s2_1;uswrf_s3_1;uswrf_s4_1;uswrf_s5_1;dlwrf_s1_2;dlwrf_s2_2;dlwrf_s3_2;dlwrf_s4_2;dlwrf_s5_2;dswrf_s1_2;dswrf_s2_2;dswrf_s3_2;dswrf_s4_2;dswrf_s5_2;pres_ms1_2;pres_ms2_2;pres_ms3_2;pres_ms4_2;pres_ms5_2;pwat_ea1_2;pwat_ea2_2;pwat_ea3_2;pwat_ea4_2;pwat_ea5_2;spfh_2m1_2;spfh_2m2_2;spfh_2m3_2;spfh_2m4_2;spfh_2m5_2;tmin_2m1_2;tmin_2m2_2;tmin_2m3_2;tmin_2m4_2;tmin_2m5_2;tmp_sfc1_2;tmp_sfc2_2;tmp_sfc3_2;tmp_sfc4_2;tmp_sfc5_2;ulwrf_s1_2;ulwrf_s2_2;ulwrf_s3_2;ulwrf_s4_2;ulwrf_s5_2;ulwrf_t1_2;ulwrf_t2_2;ulwrf_t3_2;ulwrf_t4_2;ulwrf_t5_2;uswrf_s1_2;uswrf_s2_2;uswrf_s3_2;uswrf_s4_2;uswrf_s5_2;dlwrf_s1_3;dlwrf_s2_3;dlwrf_s3_3;dlwrf_s4_3;dlwrf_s5_3;dswrf_s1_3;dswrf_s2_3;dswrf_s3_3;dswrf_s4_3;dswrf_s5_3;pres_ms1_3;pres_ms2_3;pres_ms3_3;pres_ms4_3;pres_ms5_3;pwat_ea1_3;pwat_ea2_3;pwat_ea3_3;pwat_ea4_3;pwat_ea5_3;spfh_2m1_3;spfh_2m2_3;spfh_2m3_3;spfh_2m4_3;spfh_2m5_3;tmin_2m1_3;tmin_2m2_3;tmin_2m3_3;tmin_2m4_3;tmin_2m5_3;tmp_sfc1_3;tmp_sfc2_3;tmp_sfc3_3;tmp_sfc4_3;tmp_sfc5_3;ulwrf_s1_3;ulwrf_s2_3;ulwrf_s3_3;ulwrf_s4_3;ulwrf_s5_3;ulwrf_t1_3;ulwrf_t2_3;ulwrf_t3_3;ulwrf_t4_3;ulwrf_t5_3;uswrf_s1_3;uswrf_s2_3;uswrf_s3_3;uswrf_s4_3;uswrf_s5_3;dlwrf_s1_4;dlwrf_s2_4;dlwrf_s3_4;dlwrf_s4_4;dlwrf_s5_4;dswrf_s1_4;dswrf_s2_4;dswrf_s3_4;dswrf_s4_4;dswrf_s5_4;pres_ms1_4;pres_ms2_4;pres_ms3_4;pres_ms4_4;pres_ms5_4;pwat_ea1_4;pwat_ea2_4;pwat_ea3_4;pwat_ea4_4;pwat_ea5_4;spfh_2m1_4;spfh_2m2_4;spfh_2m3_4;spfh_2m4_4;spfh_2m5_4;tmin_2m1_4;tmin_2m2_4;tmin_2m3_4;tmin_2m4_4;tmin_2m5_4;tmp_sfc1_4;tmp_sfc2_4;tmp_sfc3_4;tmp_sfc4_4;tmp_sfc5_4;ulwrf_s1_4;ulwrf_s2_4;ulwrf_s3_4;ulwrf_s4_4;ulwrf_s5_4;ulwrf_t1_4;ulwrf_t2_4;ulwrf_t3_4;ulwrf_t4_4;ulwrf_t5_4;uswrf_s1_4;uswrf_s2_4;uswrf_s3_4;uswrf_s4_4;uswrf_s5_4;salida
1;253,4701108;263,6293834;274,5224804;313,8819247;316,3215831;0;29,09090909;199,0909091;476,3636364;308,1818182;101642,3878;101544,4403;101265,3828;100822,1278;100761,1151;6,056242856;7,050804008;8,301899476;8,809694724;9,021586505;0,004764599;0,005566963;0,00611145;0,006054836;0,006224545;280,8076422;280,3528415;280,3513711;288,8862305;288,8116871;279,1303711;281,1000227;291,6274164;293,3803184;286,5488448;346,9942377;345,2145053;364,6078463;419,5225969;410,6476468;260,1016208;223,0124789;216,0920202;189,6940044;176,5456529;0;6,090909091;42,72727273;93,81818182;60,90909091;248,9246563;258,3566562;265,4315713;297,4273793;302,5943104;0;20;199,0909091;483,6363636;312,7272727;101527,0568;101393,2273;101123,8537;100684,6605;100603,7947;5,592606458;5,950804104;6,683717641;6,964240118;8,13976847;0,003796417;0,004077872;0,004214177;0,004422109;0,004591818;280,0458263;279,678292;279,6786444;287,9135021;287,8280529;277,894018;279,7545693;289,8183261;291,5748679;285,1488481;340,4487832;339,1235962;357,3351191;408,613506;400,2840105;259,374348;222,4670244;224,4556566;204,6940044;188,4547438;0;6;46,81818182;102,9090909;66,81818182;239,0155654;248,7202939;254,0679349;283,154652;285,9579468;0;20;194,5454545;482,7272727;315,4545455;101447,0575;101280,1364;100967,3885;100547,0433;100487,3544;4,610788345;4,832622268;5,647353953;6,364240126;8,27613202;0,003108235;0,003526963;0,004187813;0,004397564;0,004214545;276,8885498;276,6392101;276,6413741;284,7971413;284,6171459;273,8849321;275,6363858;284,7637856;287,7030501;281,1215793;321,1760559;320,5781416;335,7896645;384,613506;378,0112832;254,6470781;212,103388;216,0920202;204,239459;197,1820165;0;7,909090909;73,18181818;149,8181818;96,18181818;236,1973835;245,5384757;250,7952076;276,8819247;279,5034013;0;20;184,5454545;469,0909091;307,2727273;101263,304;101047,8033;100665,9482;100299,9609;100284,7038;4,338061116;4,296258666;4,983717615;6,064240152;7,876131925;0,003479144;0,003473326;0,003858723;0,004368473;0,004296364;276,8085521;276,3210227;276,3204595;284,238051;284,0662342;274,4576499;275,8363897;284,9092379;287,3248679;281,3670294;323,5396923;322,3054144;337,1533009;383,3407787;376,9203741;254,556169;209,2852062;210,8192929;204,8758226;202,1820165;0;5,909090909;58,18181818;128,3636364;83,36363636;6068700
2;303,7396518;305,1802146;296,646046;290,5526706;292,1627059;0;20;198,1818182;530,9090909;349,0909091;100647,9396;100762,3764;100683,2251;100554,5994;100922,1378;11,53736643;9,687193134;8,828157815;9,780664704;11,32817052;0,007222849;0,0055387;0,003666012;0,003785828;0,004196194;284,4736134;284,213648;284,215271;289,7607616;285,7989169;283,0942549;284,3408425;294,0613903;293,3863997;284,3407593;367,2959928;364,9949868;382,6717918;427,9820168;411,1574319;174,9499123;191,4023951;219,2079648;268,8932703;255,2192424;0;4,818181818;44,09090909;111;75,81818182;279,6487427;272,0893055;275,8278642;277,7344887;277,7990695;0;20,90909091;190,9090909;538,1818182;356,3636364;100628,6676;100799,0163;100769,6534;100675,4176;101092,1953;8,791911992;9,305375099;9,200884992;9,435210228;11,27362503;0,003756486;0,003789609;0,003890558;0,0041331;0,004441649;281,8417969;280,4763766;280,4770841;287,0780334;284,4370922;279,5578863;281,6590216;291,0977506;290,431857;282,6589494;357,8414473;344,9949868;365,7627009;410,3456532;396,7028864;209,2226396;222,0387587;229,4806921;272,4387263;264,4919697;0;5,454545455;44,54545455;119,9090909;83,63636364;260,012379;264,3620328;265,3733188;270,007216;268,6172513;0;20;193,6363636;520,9090909;350;100624,8871;100820,8267;100858,7621;100820,331;101238,2571;7,96463936;8,787193038;8,855430516;9,198846644;10,64635233;0,003346486;0,003796882;0,003869649;0,004064009;0,004546194;279,64998;278,9818309;278,9834484;286,2580372;282,5480069;277,0033431;279,1317527;288,1886652;287,822765;280,4771257;340,0232655;334,3586232;352,944519;393,9820168;382,248341;234,4044578;214,4933042;228,0261466;266,0750899;263,2192411;0;6,090909091;56,45454545;138,5454545;95,54545455;256,2851063;269,9983964;262,7369551;263,1890342;262,0717968;0;19,09090909;190,9090909;509,0909091;339,0909091;100641,1321;100877,6953;101003,4212;101035,2578;101424,7415;7,11009381;7,641738588;7,991794023;9,407937397;9,091806932;0,00383194;0,003695973;0,003406012;0,004214009;0,00388983;279,4290716;278,8218301;278,8225403;284,9344011;281,0470997;277,5306119;278,5772039;286,8886608;286,45004;279,2953103;339,2959928;336,3586232;351,3081554;386,8911077;375,248341;230,8590032;191,2205769;218,7534194;262,165999;260,4010592;0;4,818181818;55;131,7272727;90,27272727;3217200
3;243,496883;236,360697;240,8792697;259,8545283;260,5599532;0;30;229,0909091;569,0909091;386,3636364;102194,5036;102245,1179;101993,7855;101497,7244;101370,3146;6,400000009;5,442616419;5,385037075;5,96057454;7,091974692;0,002967777;0,002854082;0,002665781;0,002764738;0,00305667;277,393366;276,5721602;276,5718744;283,7764144;280,7522944;276,0230186;278,1440374;290,2127713;291,6238403;278,5192483;335,7674477;328,4417392;351,1462735;412,234142;395,2083851;252,6139318;250,3226374;256,5084645;277,4265636;272,9498596;0;9;53,72727273;122,8181818;87,18181818;240,3150649;231,9061515;236,6974515;256,3999828;256,9235895;0;30;220;550;370;102226,7216;102252,3175;102004,1058;101483,3629;101368,2493;5,381818121;4,88807106;5,103218859;5,851483648;7,355611064;0,002778686;0,002683173;0,002665781;0,002683829;0,00286667;276,4533636;275,6312533;275,6309703;282,8309659;280,7932018;274,8502863;276,9985879;288,9309581;289,7692954;278,2283381;331,1310841;322,8053755;345,0553644;404,6886874;387,5720215;250,0684773;247,7771828;253,9630099;273,7902;268,4044051;0;8;53,90909091;125,1818182;88,18181818;232,1332467;226,4516061;231,4247242;250,3090737;251,6508609;0;20;210;539,0909091;359,0909091;102231,2024;102233,0156;101990,4695;101440,2756;101367,3615;4,599999948;4,560798255;4,84867343;5,624210921;7,273792917;0,002409595;0,002477718;0,002409417;0,002558375;0,002732125;274,9815507;273,7839799;273,7846042;281,8491433;279,9322898;273,1321078;275,4167702;288,230957;287,5147483;277,510154;323,7674477;313,7144664;338,5099099;395,5068692;378,6629306;246,9775682;243,8680919;250,3266463;269,3356545;260,7680428;0;8;55;129,0909091;89,72727273;226,2241558;223,7243333;228,6974515;245,581801;250,8326791;0;20;200;519,0909091;344,5454545;102199,5078;102170,8622;101937,6151;101363,8686;101311,5504;4,481818112;4,588071086;4,885037075;5,551483674;7,146520138;0,002137777;0,0024259;0,00221669;0,002376556;0,002601216;273,4670077;271,7857971;271,7864297;281,2118697;279,6513811;271,413921;274,5258595;286,5036871;286,0056568;277,8647045;317,3129023;305,9871937;333,0553644;385,4159601;371,4811124;243,7048409;239,7771828;246,8721008;262,6992909;247,5862246;0;7;51;121,8181818;82,27272727;12666900
4;254,9078328;252,4510609;256,0754922;278,5171342;269,836731;0;30;220;560;380;100791,1044;100734,4688;100751,6016;100759,4084;101611,5575;8,518181844;6,351214972;8,349819053;9,497643384;7,652754827;0,002724845;0,002841;0,00330155;0,003221839;0,002278774;279,0763689;279,0420366;279,0429577;288,0419866;279,8695928;277,0795344;280,6255909;291,1692061;291,2534457;279,1314004;337,0164601;337,7431224;359,9909696;414,1591076;395,1536394;252,3279031;248,0270982;255,6621219;273,652083;267,7640048;0;8,363636364;53;118,2727273;84,09090909;255,9987432;252,4510609;257,9845831;270,4262251;258,7458219;0;30;210;535,4545455;357,2727273;100690,071;100546,6349;100592,7692;100913,7805;101655,9474;10,37272722;6,823942314;10,25891009;9,243097912;8,043663849;0,002936663;0,003121;0,003787913;0,002894566;0,002231502;278,2727328;278,5593123;278,5593178;283,4510775;277,9414035;276,4158963;279,6074108;289,587394;285,6534479;277,0314026;332,6528237;334,4703952;355,445515;394,8863803;373,9718212;247,9642667;246,6634619;253,0257596;262,4702662;255,7640048;0;8;52,18181818;118,3636364;83,81818182;249,18056;245,7237882;251,1664013;258,5171328;252,3821855;0;20;200;500;333,6363636;100575,1889;100448,3303;100535,1136;101008,201;101792,8672;9,700000069;8,523942384;10,8316373;9,170370622;8,543663805;0,002902118;0,003312819;0,003689731;0,002614566;0,002215138;276,3890963;276,9684004;276,9456787;279,2701666;275,4477706;275,0158941;277,4437727;285,9964766;281,8807151;274,6768577;324,925551;325,8340315;345,1727878;371,613653;355,6990939;243,5097212;244,0270982;248,1166687;249,9248116;244,582188;0;7;52;117,2727273;81,36363636;240,7260146;240,9965154;244,2573103;266,3353161;256,4730946;0;19,09090909;188,1818182;410;272,7272727;100455,2976;100359,1342;100696,6641;101305,4489;101963,951;8,145454537;9,378487847;10,53163754;8,69764354;8,916391026;0,00275939;0,003307364;0,002927004;0,002156384;0,00239332;274,7918202;275,1756731;275,0293191;275,9019914;273,3368641;273,8068099;275,561959;282,5328425;278,5625361;272,8404874;319,5619146;319,1067588;334,9000605;352,8863803;340,2445485;239,8733576;240,4816437;241,5712142;234,9248116;230,3094607;0;5,727272727;47,27272727;89,81818182;63,09090909;9359700
5;231,9509166;233,2679346;237,4730474;251,6985585;252,7092632;0;30;220;570;389,0909091;102562,8707;102726,8608;102687,5277;102458,5192;102431,9361;6,492408752;5,540811755;5,172796206;5,682256742;6,784180468;0,003259351;0,003487505;0,003096466;0,002675676;0,002736781;274,8856007;274,8511519;274,8528248;282,670646;279,4561379;273,6799178;276,4668274;287,4875655;288,3805154;276,8933799;320,8152188;319,8194941;341,4084584;394,2007224;381,1254578;246,3466949;245,3839666;249,2080605;265,3360762;262,6651112;0;8,090909091;52,81818182;121,9090909;87;233,2236439;234,0861164;237,2003202;252,9712857;253,8001709;0;30;210,9090909;550;370;102523,1435;102682,8274;102661,848;102401,1527;102397,8999;7,256045081;5,531720768;5,718250751;6,282256733;7,04781671;0,00343026;0,003398414;0,003101921;0,002873858;0,002864963;274,5646945;274,7038852;274,7019154;282,4070046;279,2670482;273,3799133;275,6759172;286,3057417;287,4168784;276,4661061;317,5424916;318,0013123;337,8630038;388,2007224;375,8527305;243,6194222;244,0203303;246,8444242;260,6997126;259,0287476;0;8;53;123,2727273;87,27272727;231,314553;229,1770255;232,2003202;248,1531039;247,8001723;0;20;208,1818182;532,7272727;360;102495,3281;102644,0611;102606,2188;102355,7699;102410,8736;7,174226934;5,031720768;5,690978007;6,109529409;6,493271221;0,003457532;0,003290232;0,002994648;0,002851131;0,002815872;273,3701477;273,7066123;273,7064597;281,3842829;278,1397788;272,4435508;274,4304671;284,7875588;285,7077942;275,247922;311,997037;313,1831304;332,2266402;379,746177;366,8527305;238,8921495;240,9294212;243,9353333;256,5178958;255,0287489;0;7,090909091;55,36363636;130,5454545;91,81818182;228,9509166;222,8133892;226,1094111;240,4258312;239,8910814;0;20;200;520;350;102515,8153;102673,968;102596,2152;102362,0249;102427,6463;6,365136016;4,977175366;5,500068925;5,754983989;5,96599852;0,00347026;0,003185687;0,00293283;0,002821131;0,002763145;271,9765098;272,2829729;272,282823;279,4624578;276,5943187;271,3526417;273,0213734;282,8966508;283,6332481;273,9206571;306,5424916;307,4558577;325,4084584;369,0189043;356,6709123;233,8012404;238,0203303;239,9353333;251,9724371;250,3014762;0;6,272727273;52,27272727;125,4545455;87,63636364;10385100
6;250,3579809;250,7838898;257,5760692;281,1488204;279,800637;0;30;220;560;380,3636364;102564,745;102551,027;102425,9489;102136,4027;102071,7876;8,512104988;8,729351997;8,91381888;8,795514974;8,139048836;0,002990373;0,003166221;0,003407623;0,00330094;0,003051648;276,9633484;277,947998;277,9454401;287,1376093;285,4465498;275,433541;278,7622597;292,1412853;293,6726851;281,8989397;322,7654086;328,7405479;355,1214822;423,6044034;407,8835061;249,5065474;249,6547422;255,4332012;277,3176464;274,8792419;0;8;51;118,0909091;85;249,8125264;250,6020716;256,8487965;279,4215476;278,9824552;0;20,90909091;210;540;369,6363636;102479,1016;102471,4354;102374,1974;102056,8537;101982,6605;9,230286772;9,256624655;9,095637235;9,00460564;8,966321425;0,002965828;0,003231675;0,003381259;0,003556394;0,003387103;276,1151622;276,6661849;276,6654386;286,3748835;284,9856429;274,0426247;277,5440757;291,0321905;292,4635981;281,2989446;317,5835904;321,831457;349,1214822;416,6044034;401,2471424;243,3247292;243,2911058;249,8877453;273,6812827;271,1519692;0;8;51;120,0909091;85,90909091;245,6307082;246,1475261;251,6669755;272,4215476;272,2551824;0;20;200;530;359,4545455;102464,8317;102433,9957;102306,2848;101983,3558;101922,5874;8,92119581;8,565715703;8,341091676;8,486423926;8,93904868;0,002811282;0,002873493;0,002967623;0,003306394;0,003255285;275,0951621;275,3043601;275,3045294;285,603069;283,5220059;273,0880821;276,0713501;289,5321905;290,8181374;279,8534851;314,6744995;315,3769115;342,3033003;407,3316761;392,5198697;237,6883656;238,6547422;246,1604725;269,6812827;266,7883329;0;7;52,81818182;125,0909091;88,72727273;242,0852536;242,7838898;249,121521;271,5124567;271,9824552;0;20;190;510,9090909;342,1818182;102430,2727;102395,9013;102193,4418;101874,7876;101827,3686;8,375741352;8,456624811;8,71381881;9,159151251;9,429957737;0,002380373;0,002372584;0,002833986;0,003213667;0,003132558;275,5542519;275,6834495;275,6836159;285,1676109;283,5311002;272,9335383;275,7349854;288,2867348;290,0999617;279,9443942;315,6744995;316,1041842;339,7578458;401,5134943;388,6107788;236,052002;237,472924;244,1604725;265,7721918;263,0610601;0;6;49;117,9090909;82,63636364;12480300
7;256,5852606;253,1119732;259,2237882;281,5391124;281,8031422;0;30;220;570;389,0909091;101968,6342;101990,4503;101914,7663;101759,25;101895,0568;7,173602624;6,844119549;7,049465266;8,315569834;10,55818688;0,002410343;0,002499476;0,002772277;0,003625644;0,004641645;280,6166493;280,007044;280,006553;288,790028;285,5561468;278,3221824;280,8326222;293,9863808;294,4243414;282,9526423;346,4349781;340,4773587;366,0745101;431,7711764;414,2676197;252,9564001;257,7142722;264,5472662;286,8428567;283,0247969;0;8,818181818;53;120,3636364;85,90909091;261,4034424;256,8392403;263,1328791;289,1754761;289,4395058;0;30;210;540;360,9090909;101867,2507;101891,0149;101932,2202;101830,5043;101943,5653;7,573602633;7,489574086;9,840374426;12,42466077;13,29455064;0,002508524;0,002602203;0,003900459;0,00521019;0,005369827;280,6393738;280,1179504;280,1165522;288,8854869;284,6725103;277,9494573;280,4235313;292,1409302;292,446167;282,0799172;343,4349781;338,5682678;362,5290555;419,0439037;404,2676197;253,5018546;256,6233631;262,1836298;277,6610385;274,115706;0;8;52;118,9090909;84,09090909;259,4034424;259,4756054;267,4056064;287,8118397;285,4395058;0;20;200;520;350;101794,142;101900,5767;101964,892;101880,5767;101962,9098;8,146329966;10,04411957;12,51310166;12,87011537;12,88545973;0,002464888;0,003278567;0,004962277;0,005003826;0,004527099;280,0648277;280,0861373;280,0865423;287,4182157;282,5761469;276,8130909;280,1598927;290,222745;290,9270824;279,8162786;336,1622509;336,9319042;358,4381464;408,6802673;394,6312561;251,3200365;252,8960876;256,6381753;267,3883112;263,3884333;0;7;51;120,9090909;85,81818182;262,6761697;264,2937872;267,3146973;279,7209306;278,0758695;0;20;190;501,8181818;337,2727273;101799,6335;102004,8146;102063,0384;101902,1406;101962,0568;10,59178456;12,33502865;12,3312834;12,27920628;12,88545964;0,003208524;0,004044021;0,004584095;0,004172917;0,004105281;280,8739152;280,655229;280,6556452;285,1673057;282,4979664;278,4403631;280,2962619;288,5863842;289,999803;279,8799161;342,9804327;342,2955405;358,0745101;401,7711764;388,9948925;251,4109455;249,6233604;250,5472634;254,4792217;253,3884333;0;6;47;113,5454545;79,54545455;11998800
8;262,6838046;258,1230552;264,5555559;286,7623624;286,067552;0;30;220;560;380;102040,6726;102085,9318;102014,7798;101757,4808;101761,6328;10,38136933;9,994880936;9,71202833;10,17939958;11,63544299;0,004679224;0,004776134;0,004629714;0,00444741;0,004466887;277,4429932;276,7937927;276,792081;286,8457225;285,0878823;275,657504;280,4781883;293,590873;294,2656278;282,2974826;336,128368;329,0927485;361,3467047;428,6756342;412,0459373;245,1077659;246,4777624;256,8395649;281,7363059;275,6482433;0;8;50,90909091;117,8181818;84,36363636;264,4110773;259,3957825;264,8282831;284,5805442;284,4311884;0;20;210;540;361,8181818;102019,8146;102080,4176;102011,8793;101786,8835;101791,6115;11,49955099;11,45851716;11,43020994;12,29758159;12,53544287;0,004160134;0,004179771;0,004239714;0,004316501;0,004391433;277,4029929;276,8801575;276,8802601;286,6493614;284,3033364;275,2302302;279,3418246;291,7272422;292,3201766;281,5702126;332,4010953;326,8200212;356,0739774;417,493816;402,5004827;241,0168568;240,9323079;248,4759286;265,7363059;260,4664251;0;7;50;118,3636364;83,72727273;260,7747137;256,3957825;262,3737377;285,1259988;281,976643;0;20;200;513,6363636;346,3636364;102001,88;102053,5668;101959,1634;101738,0661;101839,3352;12,17227832;12,48578999;12,93021011;12,8339451;12,2081702;0,003967406;0,003797043;0,003990623;0,00406741;0,004172342;276,3384483;276,2219765;276,2239019;286,2548079;282,6615212;273,9665971;278,1872753;290,2545111;290,5474437;279,9793008;326,0374589;321,7291121;349,6194319;408,0392706;393,5004827;236,8350386;234,4777624;240,7486558;250,9181227;253,739151;0;6,818181818;50,36363636;118;83,72727273;257,5928955;255,4866916;265,8282831;300,3078169;290,976643;0;20;178,1818182;448,1818182;309,0909091;101978,6953;102006,2649;101837,1662;101622,2116;101769,5526;12,82682367;13,6312444;14,11202838;13,00667225;13,01726125;0,003770134;0,003799771;0,004120623;0,004223773;0,004245978;276,2129933;277,0037897;277,0048079;286,0293579;282,5887923;274,2120472;278,0236428;288,9363348;290,4383545;279,9611206;323,9465498;324,9109303;347,9830683;402,8574524;390,8641191;233,5623113;233,5686715;233,5668377;236,2817591;245,5573328;0;6;42,81818182;96,54545455;71,45454545;11352900
9;279,0255848;274,5345653;277,53307;288,6414739;283,7322027;0;20;180,9090909;473,6363636;323,3636364;102788,7116;103150,4119;103446,4773;103368,4453;103420,7969;14,37540592;13,1571312;12,78834144;13,28216258;12,95924716;0,005182285;0,00434639;0,003602971;0,003651031;0,003384977;280,1294778;279,0229326;279,0234791;282,2993969;280,2922169;278,8666437;280,0874856;287,3739818;287,4111023;279,3649403;346,2717757;341,8658891;356,1814936;390,7502025;378,8884943;208,1442399;194,4231096;189,1040289;181,1259266;190,919865;0;4,545454545;36,45454545;90,54545455;63,72727273;285,8437666;271,7163835;269,7148881;274,1869285;269,1867482;0;20;186,3636364;502,7272727;341,5454545;102965,2067;103375,2266;103642,0568;103477,0419;103506,0916;14,71176954;14,0116767;14,07015965;13,22761744;11,96833793;0,004243194;0,003577299;0,003401153;0,00324194;0,002974977;279,4322066;277,687475;277,6871116;280,9584794;279,3276756;278,3848239;278,3783985;286,1103488;286,8565563;277,8285744;343,544503;337,2295255;349,2724027;386,204748;374,2521307;181,5987854;181,6049278;192,6494834;212,2168357;220,4653195;0;4;41,09090909;106,0909091;76;272,2983121;258,8072926;256,9876154;257,2778376;253,9140223;0;20;189,0909091;519,0909091;350,8181818;103203,8679;103551,924;103704,544;103506,772;103520,8118;14,77540597;13,68440394;11,7610686;10,10943525;9,277428887;0,003638649;0,003193663;0,002952971;0,002787394;0,002675886;276,9167508;275,3929305;275,3943842;279,8303028;277,3613115;276,0484619;276,2602178;284,8830761;285,8656477;275,492218;336,0899575;326,6840709;339,8178572;381,0229298;368,1612216;204,1442399;196,2412914;207,9222107;241,6713812;242,8289559;0;4;46,09090909;121;86,18181818;259,1164939;239,261838;239,6239804;244,8232935;243,5503859;0;20;189,0909091;515,4545455;349,6363636;103448,7557;103710,397;103784,5298;103546,5114;103509,9176;11,77540597;9,457131473;7,961068674;7,527617238;7,68651984;0,003245012;0,002980936;0,00275388;0,002695576;0,002656795;274,7158397;273,4211148;273,4216614;278,0012152;275,8676702;274,1757341;274,5693026;283,6012545;284,6929266;274,2922086;331,2717757;317,5931618;331,7269481;374,3865662;362,0703125;202,5987854;217,877655;219,6494834;242,8531994;244,5562286;0;4,909090909;45,27272727;117,4545455;83,54545455;5190000
10;250,8245586;249,9969746;257,5915722;282,9602134;283,715984;0;30;220;560;380,4545455;103454,647;103375,3097;103174,7173;102720,6811;102610,6634;11,59207049;10,85902648;10,54582587;10,50034549;10,75417024;0,003070168;0,003352996;0,003863621;0,004248739;0,004310629;273,9463418;274,3076671;274,3089738;284,9900291;284,5942133;272,376659;277,5803667;290,6790272;292,4852656;281,4959717;316,1116999;317,3737127;346,0987466;415,2930298;402,1267395;239,1870672;245,5472426;255,1970936;279,0809576;275,1864569;0;8;50;117;83,90909091;245,188195;247,360611;254,5006645;280,2329407;281,3523476;0;20;210;549,0909091;370,2727273;103378,5291;103324,9538;103081,9453;102652,3473;102489,179;9,864797939;9,731753956;10,01855295;10,80034542;9,890533881;0,002838349;0,003222996;0,003737257;0,003983284;0,004565175;273,7472534;274,9976612;274,9998863;284,7527577;281,9014809;272,4948453;276,7076388;289,5972124;291,7216214;278,7414273;312,0207908;317,1918945;343,1896557;410,2021207;395,8540122;241,0961581;248,5472426;254,197095;272,8991394;270,7319114;0;7;51;119,9090909;85,72727273;242,4609222;244,2697019;250,7733917;275,4147589;275,715984;0;20;200;530;360,0909091;103305,1918;103245,2308;102988,0696;102579,1825;102450,2102;8,719343446;9,049935774;9,900371205;9,700345386;8,772351959;0,002460168;0,002658451;0,003165439;0,003724193;0,004027902;273,9772478;274,8131187;274,8089738;284,3554826;281,464214;272,3857561;275,7621821;288,6608498;290,7398044;277,9959689;311,6571544;314,3737127;339,0987466;404,8384843;390,2176486;243,9143399;243,8199699;248,5607314;267,8082303;268,0955478;0;7;52;124;88,90909091;244,4609222;245,1787928;251,5915735;274,2329407;274,1705295;0;20;190;520;349,9090909;103223,6911;103138,8161;102871,968;102484,3615;102391,4169;8,873888796;9,740844813;9,791280313;8,991254546;8,58144292;0,002069258;0,002425723;0,00348453;0,004111466;0,004006084;275,2108876;275,444028;275,4435203;284,3627514;282,5960277;273,2675698;275,7076388;288,2517589;290,4125338;279,1777926;316,6571544;317,8282582;339,8260193;402,8384843;389,4903759;243,5507036;240,2745153;244,9243677;268,535503;268,2773659;0;6;48;117,7272727;83,36363636;12420000
